name,bus,p_nom,type,carrier,lat,lon
Gen_51402433985,unzugeordnet,92.38,PV,Solar Gebäude,53.1072722222222,8.84776666666667
Gen_51402436228,unzugeordnet,126.5,PV,Solar Gebäude,53.1347194444444,8.72281111111111
Gen_51402449263,unzugeordnet,34.0,BHKW,Erdgas,53.1728611111111,8.67616111111111
Gen_51402449289,unzugeordnet,33.0,BHKW,Erdgas,53.1135111111111,8.75088611111111
Gen_51402450822,unzugeordnet,50.0,BHKW,Erdgas,53.9868805555556,8.55863611111111
Gen_51402451151,unzugeordnet,50.0,BHKW,Erdgas,53.0510361111111,8.82860833333333
Gen_51402451177,unzugeordnet,70.68,PV,Solar Gebäude,53.1004611111111,8.75683611111111
Gen_51402453959,unzugeordnet,50.0,BHKW,Erdgas,53.0613305555556,8.96358888888889
Gen_51402457604,unzugeordnet,40.0,BHKW,Erdgas,53.0956944444445,8.86585
Gen_51402459824,unzugeordnet,40.0,BHKW,Erdgas,53.0708805555556,8.95942222222222
Gen_51402461209,unzugeordnet,40.0,BHKW,Erdgas,53.0903694444445,8.79382777777778
Gen_51402461936,unzugeordnet,50.0,BHKW,Erdgas,53.0657,8.88191944444445
Gen_51402462281,unzugeordnet,40.0,BHKW,Erdgas,53.0649916666667,8.96325277777778
Gen_51402463205,unzugeordnet,40.0,BHKW,Erdgas,53.0630805555556,8.963525
Gen_51402463502,unzugeordnet,50.0,BHKW,Erdgas,53.0660888888889,8.9629
Gen_51402464625,unzugeordnet,40.0,BHKW,Erdgas,53.0651833333333,8.96146111111111
Gen_51402465441,unzugeordnet,46.44,PV,Solar Gebäude,53.1844305555556,8.56436111111111
Gen_51402473741,unzugeordnet,746.2,PV,Solar Gebäude,53.0967861111111,8.71234722222222
Gen_51402474749,unzugeordnet,189.75,PV,Solar Gebäude,53.0772416666667,8.93968888888889
Gen_51402484160,unzugeordnet,440.61,PV,Solar Gebäude,53.1371222222222,8.72306666666667
Gen_51402484897,unzugeordnet,195.975,PV,Solar Gebäude,53.1377388888889,8.91878333333333
Gen_51402486752,unzugeordnet,50.0,BHKW,Erdgas,53.0697027777778,8.96089722222222
Gen_51402489574,unzugeordnet,240.405,PV,Solar Gebäude,53.1070833333333,8.79838888888889
Gen_51402492444,unzugeordnet,150.0,WEA,Windenergie,53.1292972222222,8.87100833333333
Gen_51402498450,unzugeordnet,44.1,PV,Solar Gebäude,53.1250111111111,8.75073611111111
Gen_51402501542,unzugeordnet,99.355,PV,Solar Gebäude,53.0543888888889,8.77794444444445
Gen_51402505841,unzugeordnet,99.45,PV,Solar Gebäude,53.0443777777778,8.95621388888889
Gen_51402508134,unzugeordnet,50.0,BHKW,Biogas,53.0711666666667,8.92580555555556
Gen_51402514248,unzugeordnet,99.96,PV,Solar Gebäude,53.0526194444444,8.88182777777778
Gen_51402517606,unzugeordnet,61.0,PV,Solar Gebäude,53.1766888888889,8.60576388888889
Gen_51402520641,unzugeordnet,91.5,PV,Solar Gebäude,53.0772861111111,8.76943611111111
Gen_51402520659,unzugeordnet,93.0,PV,Solar Gebäude,53.0764222222222,8.76835277777778
Gen_51402521152,unzugeordnet,30.0,BHKW,Erdgas,53.0484444444444,8.84875
Gen_51402522465,unzugeordnet,99.83,PV,Solar Gebäude,53.08405,8.78195
Gen_51402524031,unzugeordnet,382.25,PV,Solar Gebäude,53.2046777777778,8.51299444444445
Gen_51402524445,unzugeordnet,99.99,PV,Solar Gebäude,53.1281388888889,8.87066944444445
Gen_51402527572,unzugeordnet,99.9,PV,Solar Gebäude,53.1001388888889,8.90166388888889
Gen_51402529544,unzugeordnet,42.25,PV,Solar Gebäude,53.0762666666667,8.92565277777778
Gen_51402529734,unzugeordnet,168.84,PV,Solar Gebäude,53.1845111111111,8.61816944444445
Gen_51402529825,unzugeordnet,49.7,PV,Solar Gebäude,53.0619388888889,8.79058055555556
Gen_51402533678,unzugeordnet,79.36,PV,Solar Gebäude,53.1045111111111,8.85498055555556
Gen_51402533967,unzugeordnet,99.0,PV,Solar Gebäude,53.0395611111111,8.96533888888889
Gen_51402537597,unzugeordnet,54.56,PV,Solar Gebäude,53.1008,8.85153333333333
Gen_51402538008,unzugeordnet,99.96,PV,Solar Gebäude,53.0329388888889,8.87963055555556
Gen_51402539733,unzugeordnet,749.36,PV,Solar Gebäude,53.0896305555556,8.70631111111111
Gen_51402539650,unzugeordnet,353.94,PV,Solar Gebäude,53.0956694444445,8.69501111111111
Gen_51402539741,unzugeordnet,750.0,PV,Solar Gebäude,53.0962111111111,8.69633055555556
Gen_51402544542,unzugeordnet,121.8,PV,Solar Gebäude,53.1026805555556,8.85628888888889
Gen_51402560077,unzugeordnet,300.0,PV,Solar Gebäude,53.0348,8.89926944444444
Gen_51402561083,unzugeordnet,64.17,PV,Solar Gebäude,53.1134,8.82006111111111
Gen_51402566158,unzugeordnet,30.0,BHKW,Erdgas,53.0744166666667,8.80655555555556
Gen_51402566322,unzugeordnet,50.0,BHKW,Erdgas,53.0613611111111,8.87561111111111
Gen_51402566322,unzugeordnet,50.0,BHKW,Erdgas,53.0617777777778,8.87552777777778
Gen_51402566348,unzugeordnet,91.0,PV,Solar Gebäude,53.0616916666667,8.8753
Gen_51402569409,unzugeordnet,89.7,PV,Solar Gebäude,53.0823305555556,8.78585
Gen_51402570141,unzugeordnet,39.9,PV,Solar Gebäude,53.0579388888889,8.78346944444444
Gen_51402572361,unzugeordnet,99.36,PV,Solar Gebäude,53.1412555555556,8.69918055555556
Gen_51402575737,unzugeordnet,50.0,BHKW,Erdgas,53.0968333333333,8.71247222222222
Gen_51402576280,unzugeordnet,33.15,PV,Solar Gebäude,53.0927111111111,8.7738
Gen_51402577056,unzugeordnet,99.82,PV,Solar Gebäude,53.0648111111111,8.78466111111111
Gen_51402595074,unzugeordnet,105115.0,BHKW,Erdgas,53.0613333333333,8.86797222222222
Gen_51402595438,unzugeordnet,93.75,PV,Solar Gebäude,53.1061611111111,8.79356666666667
Gen_51402596626,unzugeordnet,99.36,PV,Solar Gebäude,53.0902,8.72321944444444
Gen_51402599323,unzugeordnet,99.75,PV,Solar Gebäude,53.1634694444444,8.70778888888889
Gen_51402603249,unzugeordnet,199.68,PV,Solar Gebäude,53.0811138888889,8.76046944444444
Gen_51402604445,unzugeordnet,99.9,PV,Solar Gebäude,53.0571111111111,8.94758055555556
Gen_51402605766,unzugeordnet,59.84,PV,Solar Gebäude,53.1404111111111,8.72405
Gen_51402611482,unzugeordnet,99.705,PV,Solar Gebäude,53.0348888888889,8.88175
Gen_51402614262,unzugeordnet,99.84,PV,Solar Gebäude,53.0483277777778,8.88033611111111
Gen_51402614395,unzugeordnet,60.75,PV,Solar Gebäude,53.1281916666667,8.75430555555556
Gen_51402617852,unzugeordnet,38.5,PV,Solar Gebäude,53.03455,8.87588888888889
Gen_51402623552,unzugeordnet,99.36,PV,Solar Gebäude,53.0935277777778,8.71033055555555
Gen_51402624435,unzugeordnet,99.75,PV,Solar Gebäude,53.1392111111111,8.75125
Gen_51402624633,unzugeordnet,99.33,PV,Solar Gebäude,53.04915,8.85196944444444
Gen_51402630052,unzugeordnet,99.96,PV,Solar Gebäude,53.0482694444444,8.84282222222222
Gen_51402631191,unzugeordnet,99.63,PV,Solar Gebäude,53.0877194444444,8.71346111111111
Gen_51402633379,unzugeordnet,74.8814,PV,Solar Gebäude,53.1818361111111,8.58355277777778
Gen_51402637206,unzugeordnet,234.945,PV,Solar Gebäude,53.1001305555556,8.76671111111111
Gen_51402645762,unzugeordnet,30.0,BHKW,Erdgas,53.0837777777778,8.80927777777778
Gen_51402650737,unzugeordnet,77.28,PV,Solar Gebäude,53.1075388888889,8.88086111111111
Gen_51402650787,unzugeordnet,45.54,PV,Solar Gebäude,53.0498333333333,8.74051944444444
Gen_51402653179,unzugeordnet,152.46,PV,Solar Gebäude,53.0895305555556,8.72345277777778
Gen_51402653583,unzugeordnet,99.715,PV,Solar Gebäude,53.1414083333333,8.697575
Gen_51402654599,unzugeordnet,99.9,PV,Solar Gebäude,53.0957944444444,8.71688888888889
Gen_51402657395,unzugeordnet,99.22,PV,Solar Gebäude,53.0728944444445,8.76965555555556
Gen_51402661734,unzugeordnet,99.9,PV,Solar Gebäude,53.1014444444444,8.88436388888889
Gen_51402663657,unzugeordnet,97.17,PV,Solar Gebäude,53.1087388888889,8.80275
Gen_51402664374,unzugeordnet,249.0,PV,Solar Gebäude,53.0382138888889,8.86029722222222
Gen_51402664374,unzugeordnet,249.0,PV,Solar Gebäude,53.0382138888889,8.86029722222222
Gen_51402664374,unzugeordnet,249.0,PV,Solar Gebäude,53.0382138888889,8.86029722222222
Gen_51402664374,unzugeordnet,176.79,PV,Solar Gebäude,53.0382138888889,8.86029722222222
Gen_51402664374,unzugeordnet,75.945,PV,Solar Gebäude,53.0382138888889,8.86029722222222
Gen_51402665140,unzugeordnet,1550.4,PV,Solar Gebäude,53.0273833333333,8.90246111111111
Gen_51402667659,unzugeordnet,68.88,PV,Solar Gebäude,53.05535,8.7792
Gen_51402668821,unzugeordnet,703.89,PV,Solar Gebäude,53.0850111111111,8.72349444444444
Gen_51402672129,unzugeordnet,316.94,PV,Solar Gebäude,53.1754888888889,8.59800555555556
Gen_51402672129,unzugeordnet,264.5,PV,Solar Gebäude,53.1754888888889,8.59800555555556
Gen_51402672898,unzugeordnet,37.932,PV,Solar Gebäude,53.1842888888889,8.57795
Gen_51402676840,unzugeordnet,50.0,BHKW,Erdgas,53.0533055555556,8.83613888888889
Gen_51402677020,unzugeordnet,5000.13,PV,Solar Gebäude,53.0955166666667,8.72414444444445
Gen_51402677020,unzugeordnet,2500.065,PV,Solar Gebäude,53.0955166666667,8.72414444444445
Gen_51402677020,unzugeordnet,1750.005,PV,Solar Gebäude,53.0955166666667,8.72414444444445
Gen_51402677070,unzugeordnet,50.0,BHKW,Erdgas,53.0653888888889,8.92755555555556
Gen_51402680312,unzugeordnet,999.58,PV,Solar Gebäude,53.1125388888889,8.799325
Gen_51402690494,unzugeordnet,99.63,PV,Solar Gebäude,53.0355611111111,8.84114444444445
Gen_51402693919,unzugeordnet,37.92,PV,Solar Gebäude,53.0824861111111,8.844025
